name,location,joinedGroupOn,lastVisitedGroupOn,lastAttended,totalRSVPs,RSVPedYes,RSVPedMaybe,RSVPedNo,meetupsAttended,noShows,intro,photo,assistantOrganizer,mailingList,whatIsYourOccupationTradeProfession,whatAreYourHobbiesInterests
Member1,London,"August 22, 2020","October 28, 2021","August 29, 2021",3,2,0,1,1,1,No,No,No,Yes,Library assistant at QMUL,"Reading, walking, Netflix"
Member2,London,"January 5, 2020","November 25, 2021",,2,1,0,1,0,0,No,Yes,No,Yes,Nurse,"Reading, eating out, travelling, Islamic history"
Member3,Enfield,"September 15, 2019","May 22, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,software engineer,
Member4,Purley,"September 1, 2019","September 1, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Retail,
Member5,London,"June 28, 2021","December 9, 2021","July 3, 2021",1,1,0,0,1,0,No,Yes,No,Yes,IT Operations/IT Management,"Jogging, Tennis, Reading, Watching Movies, Meeting new people."
Member6,Epsom,"December 14, 2018","January 19, 2019",,0,0,0,0,0,0,No,No,No,Yes,Management Consultant,
Member7,Riyadh,"April 19, 2019","April 19, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Engineering,
Member8,Croydon,"September 17, 2018","November 18, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,logistician,
Member9,Stratford,"November 24, 2019","February 8, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Accountant,Sports
Member10,Wembley,"April 22, 2019","June 12, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Accounting,
Member11,London,"September 15, 2019","September 30, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Work within education,
Member12,London,"June 16, 2019","November 13, 2021","November 14, 2021",32,32,0,0,32,0,No,Yes,No,Yes,Director,
Member13,Greater London,"September 8, 2021","September 9, 2021",,0,0,0,0,0,0,No,No,No,Yes,Customer Service,"Video Game, Books, Movies"
Member14,London,"May 9, 2018","October 2, 2019",,1,1,0,0,0,0,No,Yes,No,Yes,hospitality,
Member15,London,"February 23, 2019","February 16, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Marketing Associate,
Member16,London,"September 15, 2019","February 27, 2021",,2,0,0,2,0,0,No,Yes,No,Yes,Legal,
Member17,London,"August 3, 2019","September 28, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Business Analyst,
Member18,Cheam,"November 26, 2021","November 18, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Pharmacist,Reading
Member19,Ilford,"May 20, 2018","June 6, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,Civil Engineer,
Member20,London,"August 8, 2019","July 23, 2021",,1,0,0,1,0,0,No,Yes,No,Yes,Event Management,
Member21,Croydon,"May 24, 2021","November 8, 2021",,2,0,0,2,0,0,No,Yes,No,Yes,Control Analyst,"Reading, MMA"
Member22,London,"October 31, 2021","October 30, 2021",,0,0,0,0,0,0,No,No,No,Yes,Developer,Video Games
Member23,London,"January 13, 2020","January 13, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Facilities Manager,"Reading, Walking, Music"
